TIMESTAMP,TA_F,SW_IN_F,VPD_F,GPP_NT_VUT_REF
19990829,13.933,165.746,5.512,5.23866
19990830,13.549,130.277,3.469,4.73155
19990831,17.508,138.088,5.791,5.36829
19990901,20.077,160.798,6.721,6.63731
19990902,22.775,145.796,7.721,6.37848
19990903,23.831,225.608,6.42,8.84872
19990904,23.209,204.333,5.315,8.33775
19990905,16.618,85.802,1.742,2.03715
19990906,14.87,155.833,4.673,5.18339
19990907,17.652,116.76,4.363,5.28178
19990908,15.915,177.811,3.161,6.40763
19990909,9.132,99.548,0.951,4.89428
19990910,10.07,68.844,0.921,4.42757
19990911,11.295,235.542,2.219,5.11138
19990912,12.769,57.647,0.914,3.00548
19990913,8.978,102.02,0.331,5.04466
19990914,8.296,90.207,0.141,4.43749
19990915,10.115,171.09,2.142,4.94306
19990916,12.086,230.432,4.159,4.81028
19990917,14.587,223.532,4.635,4.74646
19990918,15.295,220.723,4.474,4.29511
19990919,11.359,46.336,0.862,2.35278
19990920,5.198,136.347,0.534,3.35886
19990921,6.58,188.335,2.28,3.10888
19990922,14.959,205.631,6.223,3.22485
19990923,12.536,186.375,4.564,2.99711
19990924,9.41,215.074,3.661,2.70239
19990925,12.972,191.841,3.47,2.58287
19990926,15.002,49.471,1.922,0.597049
19990927,10.297,87.049,1.169,1.2336
19990928,9.186,116.483,1.819,1.29538
19990929,7.638,168.011,2.811,1.13988
19990930,9.354,178.521,4.622,1.12392
19991001,4.295,65.98,1.527,0.780705
19991002,1.609,180.048,1.525,0.393406
19991003,2.143,132.325,2.226,0.368821
19991004,3.752,131.815,2.554,0.331609
19991005,6.381,131.899,2.006,0.760916
19991006,2.669,188.735,2.981,0.348751
19991007,7.804,32.425,1.605,0.160455
19991008,11.912,65.581,1.414,-0.0974841
19991009,15.15,176.118,7.62,0.183293
19991010,14.253,163.851,8.158,0.353921
19991011,13.471,163.403,9.269,0.41961
19991012,13.314,78.712,6.384,0.184369
19991013,3.712,104.748,1.314,0.239268
19991014,4.264,30.355,0.807,-0.0310478
19991015,10.042,83.401,2.988,0.231188
19991016,6.905,67.661,1.131,-0.122218
19991017,2.218,54.078,0.562,0.172293
19991018,0.661,52.199,0.281,0.191223
19991019,3.926,54.656,1.028,0.0538896
19991020,3.646,130.317,2.873,-0.00205288
19991021,10.547,100.356,5.563,0.320631
19991022,2.158,39.668,2.012,-0.0323296
19991023,-0.421,65.989,1.178,-0.0278807
19991024,3.156,150.264,3.902,0.00969749
19991025,8.607,129.03,7.209,0.258922
19991026,3.229,72.096,2.106,0.0744883
19991027,6.193,118.558,3.281,0.0526525
19991028,6.526,143.152,4.546,0.308084
19991029,9.414,42.941,1.44,0.0643574
19991030,11.158,22.985,0.907,-0.258198
19991031,10.671,129.31,4.384,0.00621603
19991101,8.277,117.323,4.134,0.416536
19991102,-1.025,80.621,1.702,0.139596
19991103,-1.351,132.032,2.118,-0.162247
19991104,6.531,86.875,5.54,0.190666
19991105,5.86,126.648,5.164,0.0615622
19991106,2.784,90.126,4.565,-0.103369
19991107,6.81,114.184,6.156,0.0602702
19991108,14.091,110.528,8.587,0.144449
19991109,15.996,108.801,5.911,0.0120694
19991110,2.965,14.393,0.333,0.324073
19991111,-0.344,40.947,0.322,0.0509227
19991112,3.837,48.086,0.527,0.219614
19991113,10.83,90.98,5.183,0.267227
19991114,2.757,111.822,2.672,0.217514
19991115,0.27,59.733,1.319,0.267322
19991116,-0.556,103.042,1.071,0.136155
19991117,1.619,92.198,2.601,0.07914
19991118,5.238,86.72,2.983,0.0884554
19991119,3.597,31.18,0.26,-0.00313462
19991120,0.913,32.87,0.244,0.0987281
19991121,4.574,58.669,1.301,0.0733211
19991122,4.356,37.96,0.496,0.00308807
19991123,2.189,6.981,1.072,0.0556935
19991124,-0.915,80.261,0.299,0.0223231
19991125,1.477,94.185,1.687,-0.0235608
19991126,0.345,30.066,0.487,-0.0419368
19991127,-1.326,50.717,0.745,0.0365571
19991128,-2.897,79.351,0.864,-0.0112249
19991129,-5.147,47.287,0.65,-0.0293031
19991130,-4.442,60.346,1.177,-0.0552182
19991201,0.786,40.162,1.766,0.132334
19991202,0.59,17.216,0.908,0.0826304
19991203,3.383,53.25,1.539,0.216121
19991204,-0.714,21.994,0.099,0.101141
19991205,-4.609,20.689,0.468,-0.00714125
19991206,-4.235,69.47,0.54,-0.0961663
19991207,-3.665,9.827,0.215,-0.00168306
19991208,1.296,72.72,1.108,0.112411
19991209,-1.6,33.115,0.205,0.109007
19991210,-3.284,45.478,1.158,0.0168925
19991211,-0.832,60.795,1.695,0.109476
19991212,0.439,44.992,1.146,0.00368658
19991213,-0.245,62.504,1.633,0.0682666
19991214,-0.474,30.974,1.074,0.241788
19991215,-3.889,12.964,0.358,0.347308
19991216,-14.844,82.788,0.204,-0.13771
19991217,-13.684,67.996,0.393,-0.104252
19991218,-9.987,83.502,0.664,0.00125316
19991219,-6.73,15.824,0.078,0.0713449
19991220,-16.809,47.738,0.179,0.0701768
19991221,-22.231,95.904,0.268,-0.388708
19991222,-20.898,92.319,0.249,-0.27437
19991223,-18.221,47.716,0.213,0.0188991
19991224,-13.303,76.061,0.246,0.135119
19991225,-3.018,33.66,0.398,0.280283
19991226,-6.718,60.249,0.379,0.115375
19991227,-10.468,59.134,0.383,-0.0391685
19991228,-4.815,21.059,0.358,0.162093
19991229,2.555,47.097,0.4,0.3328
19991230,-3.668,61.013,0.664,0.14217
19991231,-2.13,38.949,1.135,0.129112
20000101,-3.826,20.029,0.253,0.0355469
20000102,-4.679,22.154,0.086,0.0342969
20000103,-5.754,46.779,0.224,0.0645225
20000104,-9.281,37.061,0.344,-0.101309
20000105,-10.914,26.716,0.195,-0.17606
20000106,-7.693,65.444,0.374,-0.0543723
20000107,-13.199,61.846,0.448,-0.243376
20000108,-0.397,59.729,1.115,0.217172
20000109,1.516,76.494,2.641,0.471491
20000110,1.447,12.245,1.165,0.633259
20000111,-8.314,80.337,0.698,-0.0862484
20000112,-14.379,27.28,0.378,-0.146185
20000113,-11.419,36.784,0.236,-0.157432
20000114,-11.223,28.458,0.206,-0.203435
20000115,-4.73,61.011,0.616,-0.0649528
20000116,-12.369,97.869,0.536,-0.284874
20000117,-10.956,19.136,0.164,-0.0685821
20000118,-7.7,91.225,0.882,-0.105901
20000119,-10.126,21.167,0.717,-0.116235
20000120,-19.166,75.474,0.276,-0.402261
20000121,-20.222,101.473,0.35,-0.566471
20000122,-13.582,37.331,0.395,-0.0695492
20000123,-16.806,94.701,0.519,-0.149884
20000124,-12.574,84.739,0.738,-0.0495241
20000125,-11.109,78.272,0.711,-0.0279179
20000126,-9.516,92.575,1.021,-0.0511769
