SZA,AOD,COD,CLD_FRAC,UW,TO3,Pressure,BSA,WSA,SW_direct,SW_diffuse
17.31240082,0.156985247,0.239673167,0.0261446,2.603199482,313.9883423,977.2611084,0.162,0.19,777.9472656,157.5485077
17.64372253,0.052359173,0.119862214,0.013098141,2.328604937,319.1747437,966.2299805,0.16,0.182,786.9505615,168.0771637
54.0348587,0.929303774,2.87,0.270491749,2.651465416,246.0084686,970.0498047,0.133,0.146,368.9884949,160.4833374
62.21576691,0.117645897,0.448794901,0.066581167,1.790645361,374.7972412,1013.25,0.167,0.183,357.9546204,95.48332977
62.9446106,0.721244276,1.9,0.132195622,2.008156776,328.6212463,1003.915283,0.155,0.167,232.6193848,186.2666779
30.399189,0.025993881,0.050736569,0.005967312,1.934431791,355.5913086,959.085083,0.163,0.195,743.123291,101.3500061
27.72370911,0.105840063,0.152966693,0.017647455,2.073814631,322.6935425,969.2388916,0.166,0.188,752.4881592,101.6164932
28.41914749,0.306563735,0.495118439,0.057480529,2.351189852,317.0154114,970.6298828,0.163,0.183,769.5144043,104.1290359
26.99898911,0.686079353,2.69,0.205907762,2.318201542,326.5321655,975.9783936,0.161,0.184,704.4858398,248.4006042
42.22969818,0.413801119,0.543243349,0.070936605,1.99892199,298.8503723,882.3214111,0.188,0.211,585.0366211,122.2683334
27.74005127,0.278781972,0.530762434,0.061309583,2.25174427,320.1426697,977.2611084,0.166,0.191,713.5811768,169.8735352
27.74005127,0.278781972,0.530762434,0.061309583,2.25174427,320.1426697,977.2611084,0.166,0.191,713.5811768,169.8735352
27.74005127,0.278781972,0.530762434,0.061309583,2.25174427,320.1426697,977.2611084,0.166,0.191,719.588623,173.1171417
28.29314041,0.165207407,0.209960163,0.024355602,2.351189852,315.8167419,966.2299805,0.162,0.184,753.6386719,120.3614197
26.98867035,0.106273867,0.048981883,0.005627916,2.403460979,315.7883606,978.5446167,0.13,0.145,752.7615356,117.2334213
20.43264771,1.517695154,3.370296001,0.367773056,1.977905154,334.8824158,959.085083,0.163,0.195,743.8383789,182.3516541
